BIND_REMOTEVIEWS,0,560,328.5530343007916,-1.0,0.03724890248769456
READ_PROFILE,0,525,308.01846965699207,-1.0,0.03492084608221365
READ_CALL_LOG,0,244,143.1552506596306,-1.0,0.016229878941066915
WRITE_CALL_LOG,0,146,85.65846965699208,-1.0,0.009711321005720367
WRITE_USER_DICTIONARY,0,122,71.5776253298153,-1.0,0.008114939470533458
WRITE_PROFILE,0,109,63.950501319261214,-1.0,0.007250232805640548
READ_SOCIAL_STREAM,0,96,56.32337730870712,-1.0,0.006385526140747639
WRITE_SOCIAL_STREAM,0,74,43.415936675461744,-1.0,0.004922176400159638
ADD_VOICEMAIL,0,30,17.601055408970975,-1.0,0.001995476918983637
BIND_TEXT_SERVICE,0,23,13.494142480211082,-1.0,0.0015298656378874551
AUTHENTICATE_ACCOUNTS,1,967,567.3406860158311,-0.9964809839428875,0.06438738858587202
NFC,1,618,362.5817414248021,-0.9944991737149329,0.041173340428362376
READ_SYNC_STATS,1,519,304.4982585751979,-0.9934533178377916,0.03458826659571638
USE_CREDENTIALS,3,1517,890.0267018469657,-0.9932812759264749,0.10110416389517095
SUBSCRIBED_FEEDS_WRITE,1,242,141.98184696569922,-0.9860122103438782,0.016163363043767462
MANAGE_ACCOUNTS,10,1555,912.3213720316622,-0.9783155843435086,0.1040973792736464
READ_USER_DICTIONARY,1,104,61.016992084432715,-0.9677507738963361,0.00698416921644273
CHANGE_WIFI_MULTICAST_STATE,2,186,109.12654353562006,-0.9640049994111636,0.012504988692297459
MASTER_CLEAR,2,178,104.43292875989447,-0.9624176460555386,0.011972861513901822
SET_TIME,1,84,49.282955145118734,-0.960225090306886,0.005653851270453638
WRITE_GSERVICES,1,63,36.96221635883905,-0.9473160370539239,0.0042570174271650925
DUMP,2,99,58.08348284960422,-0.9334259631717347,0.006718105627244912
SET_TIME_ZONE,1,45,26.401583113456464,-0.927011516388707,0.0030597312757749103
BIND_ACCESSIBILITY_SERVICE,1,41,24.054775725593668,-0.9201748991128672,0.0027936676865770917
READ_SYNC_SETTINGS,30,1222,716.9496569920844,-0.9196733013552534,0.08327790341891712
SET_PROCESS_LIMIT,1,32,18.774459102902373,-0.8988594332925924,0.0021950246108820006
